"siteIDScheme","WBCategory","determinandC","analysed","media","NSamples","minValue","meanValue","maxValue","sd","method"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",3,0.041,0.047,0.058,0.009,"SFS 3026"
"eionetMonitoringSiteCode","TW","EEA_3132-01-2","total","water",4,6.67,8.24,10.6,1.55,"EN 25813:1992"
"euMonitoringSiteCode","RW","EEA_3131-01-9","total","water",5,87,89.4,91,1.8166,"EN 25813:1992"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",5,27.5,41.88,53.25,10.186,"SFS 3040"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",1,0.015,0.015,0.015,NA,"SFS 3026"
"euMonitoringSiteCode","GW","EEA_3132-01-2","total","water",1,3.98,3.98,3.98,0,"EN 25813:1992"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",2,8.35,8.5875,8.825,0.3359,"EN 25813:1992"
"eionetMonitoringSiteCode","RW","EEA_3132-01-2","total","water",4,7.2,10.225,11.8,2.0565,"EN 25813:1992"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",2,68.625,73.395,78.166,6.747,"SFS 3040"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",1,7.1429,7.1429,7.1429,NA,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",2,0.012,0.013,0.014,0.001,"SFS 3026"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",4,59.25,71.5,81.5,9.221,"SFS 3040"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",1,8.44,8.44,8.44,NA,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",2,0.008,0.008,0.008,0,"SFS 3026"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",5,0.055,0.062,0.069,0.005,"SFS 3026"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",3,89,94.3333,102.5,7.1822,"EN 25813:1992"
"euMonitoringSiteCode","LW","CAS_14798-03-9","total","water",1,0.002576,0.002576,0.002576,NA,"SFS 3032 + EN ISO 11732"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",1,83,83,83,NA,"SFS 3040"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",1,7.5333,7.5333,7.5333,NA,"EN 25813:1992"
"eionetMonitoringSiteCode","LW","EEA_3132-01-2","total","water",1,7.833,7.833,7.833,NA,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",2,8.17,9.43,10.69,1.781,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","RW","EEA_3132-01-2","total","water",1,14.1,14.1,14.1,0,"EN 25813:1992"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",2,8.228,8.878,9.528,0.919,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",2,0.011,0.012,0.013,0.001,"SFS 3026"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",2,0.0057,0.006,0.0063,5e-04,"SFS 3026"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",3,0.016,0.018,0.019,0.001,"SFS 3026"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",2,4.24,6.96,9.68,3.84666,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",8,37.5,75.5,105,25.787,"SFS 3040"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",8,38,69.242,91,20.596,"SFS 3040"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",4,57.3333,71.6458,84,13.8404,"EN 25813:1992"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",4,0.006,0.008,0.009,0.001,"SFS 3026"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",2,0.014,0.015,0.016,0.001,"SFS 3026"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",1,7.4286,7.4286,7.4286,NA,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","CAS_14798-03-9","total","water",2,0.001288,0.105616,0.209944,0.114,"SFS 3032 + EN ISO 11732"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",3,37,57.7778,77.6667,20.3479,"EN 25813:1992"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",4,0.006,0.007,0.009,0.001,"SFS 3026"
"eionetMonitoringSiteCode","LW","CAS_14798-03-9","total","water",2,0.00644,0.010304,0.01288,0.00353,"SFS 3032 + EN ISO 11732"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",2,8.46,8.8,9.14,0.4808,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",13,0.02,0.065,0.199,0.057,"SFS 3026"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",3,0.008,0.009,0.011,0.001,"SFS 3026"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",5,44.8,60.564,80.2,15.8934,"EN 25813:1992"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",7,0.02,0.022,0.025,0.001,"SFS 3026"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",3,0.0323,0.038,0.044,0.0058,"SFS 3026"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",2,19.333,50.166,81,43.604,"SFS 3040"
"euMonitoringSiteCode","LW","CAS_14798-03-9","total","water",1,0.002576,0.002576,0.002576,NA,"SFS 3032 + EN ISO 11732"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",1,77,77,77,NA,"SFS 3040"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",3,80.5455,82.5866,84.7143,2.0858,"EN 25813:1992"
"eionetMonitoringSiteCode","LW","CAS_7723-14-0","total","water",2,0.008,0.01,0.013,0.003,"SFS 3026"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",8,0.025,0.036,0.058,0.01,"SFS 3026"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",1,0.008,0.008,0.008,NA,"SFS 3026"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",2,83.0769,84.7885,86.5,2.4205,"EN 25813:1992"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",2,83,83.857,84.714,1.212,"SFS 3040"
"euMonitoringSiteCode","LW","CAS_14798-03-9","total","water",2,0.014168,0.015456,0.016744,0.001,"SFS 3032 + EN ISO 11732"
